model,qtype,layer,n,n_flip,n_hold,chance,silhouette,lda_acc,fisher_ratio,pca_var_pc1,pca_cumvar5
DeepSeek-R1-7B,base,19,464,148,316,0.6810344827586207,0.00042581016896292567,0.646551724137931,0.004254626710149727,0.5961982,0.77522075
DeepSeek-R1-7B,critical,19,445,140,305,0.6853932584269663,0.0012559626484289765,0.6112359550561798,0.0051215329719179175,0.63136095,0.80979973
DeepSeek-R1-7B,presupposition,19,427,145,282,0.6604215456674474,0.0004145237908232957,0.6323185011709602,0.004027452195959065,0.6373062,0.81562746
Qwen2.5-7B,base,17,689,64,625,0.9071117561683599,-0.11129146069288254,0.8824383164005806,0.01846888629125566,0.5947202,0.7853503
Qwen2.5-7B,critical,17,682,72,610,0.8944281524926686,-0.10476064682006836,0.8607038123167156,0.02306530564644483,0.60923606,0.8128836
Qwen2.5-7B,presupposition,17,685,66,619,0.9036496350364963,-0.1188158467411995,0.8890510948905109,0.02837811649977182,0.6677976,0.85819644
Llama-3.1-8B,base,9,428,130,298,0.6962616822429907,0.0009132209233939648,0.6682242990654206,0.006900849403170444,0.5666453,0.83351564
Llama-3.1-8B,critical,9,474,125,349,0.7362869198312236,0.005871464032679796,0.740506329113924,0.017039438705656884,0.5579024,0.8409715
Llama-3.1-8B,presupposition,9,494,111,383,0.7753036437246963,-0.0052024428732693195,0.7692307692307693,0.019233490377019963,0.53755504,0.83500254
Qwen3.5-9B,base,10,423,75,348,0.8226950354609929,-0.08679259568452835,0.7801418439716312,0.0337889096615763,0.5867962,0.755755
Qwen3.5-9B,critical,10,405,79,326,0.8049382716049382,-0.07083224505186081,0.7382716049382716,0.045433280354749084,0.6150672,0.7725189
Qwen3.5-9B,presupposition,10,373,90,283,0.7587131367292226,-0.025965243577957153,0.7453083109919572,0.057982236101444415,0.6139858,0.7675332
